csv_row	year	doi	title	motion_state	model_scale	value_basis	basis_provenance	has_threshold	has_friction	threshold_reported	friction_reported
2	2022	10.1111/jfr3.12828	A numerical approach to understand the responses of passenger vehicles moving through floodwaters	self-propelled	full scale	full-scale numerical	I: same group and vehicle as the full-scale 2023 study	Y	Y	0.38 m critical depth, 0.39 m2/s minimum depth-velocity threshold, medium-size passenger vehicle	rolling friction coefficient = 0.3, assumed not measured
5	2020	10.1111/jfr3.12645	Victims crossing overflowing watercourses with vehicles in Spain	(unstated)	n/a, secondary	full-scale criteria	R: quotes published criteria, not own experiment	Y	N	- 0.60 m critical depth for water floating to occur - Less than 0.70 m 2 /s depth-velocity threshold for small passenger cars - 0.3-0.5 m critical depth in still water - 0.10-0.20 m critical depth in high velocity flow	
7	2018	10.11113/JT.V80.11198	EXPERIMENTAL STUDIES ON THE THRESHOLD OF VEHICLE INSTABILITY IN FLOODWATERS	Stationary	1:24	RAW MODEL VALUES	R: abstract, die-cast model 1:24, rear tyres locked only	Y	Y	0.0168 m2/s minimum depth-velocity threshold at 0°/360° orientation, 0.0144 m2/s minimum depth-velocity threshold at 90° and 270° orientations	rolling friction coefficient = 0.3, assumed not measured
16	2018	10.1111/jfr3.12262	Stability criteria for flooded vehicles: a state‐of‐the‐art review	Stationary	n/a, review	full-scale criteria	R: AR&R-derived criteria	Y	Y	- Small passenger vehicle: (v·y) ≤ 0.30 m²/s - Large passenger vehicle: (v·y) ≤ 0.45 m²/s - Large 4WD vehicle: (v·y) ≤ 0.60 m²/s	- rolling friction coefficient = 0.3 (assumed not measured) - rolling friction coefficient = 0.3 to 0.5 (measured) - rolling friction coefficient = 0.26 to 0.65 (measured) - rolling friction coefficient = 0.75 (perpendicular orientation), 0.25 (parallel orientation) (measured)
23	2019	10.1016/j.rineng.2019.100032	Hazard risks pertaining to partially submerged non-stationary vehicle on low-lying roadways under subcritical flows	self-propelled	1:10	RAW MODEL VALUES	R: 1:10 Perodua Viva; 0.055 m buoyancy depth is a model value	Y	N	buoyancy depth >= 0.055 m; depths 0.047-0.089 m; velocities 0.20-0.39 m/s [RECOVERED FROM QUOTE COL 15]	
25	2025	10.1016/j.rineng.2025.107189	Full-scale experimental assessment of passenger vehicle stability in flooding flow	Stationary	full scale	full-scale measured	R: abstract, 'full-scale flood tests on prototype vehicle', braked vs unbraked	N	Y		rolling friction coefficient = 0.0250 and 0.0242 (measured)
26	2013	10.1007/s11069-013-0889-2	Criterion of vehicle stability in floodwaters based on theoretical and experimental studies	Stationary	unknown	full-scale equivalent	I: Accord/Q7 at 0.25-0.35 m and 2.0-4.4 m/s are full-scale plausible	Y	Y	- Honda Accord: 2.0 m/s incipient velocity at 0.35 m depth for 0° or 180° orientations - Audi Q7: 4.3 m/s incipient velocity at 0.35 m depth for 0° or 180° orientations - Honda Accord: 3.9, 3.3, and 2.9 m/s incipient velocities for flat, 1:100, and 1:50 slopes at 0.25 m depth - Audi Q7: 4.4, 3.9, and 3.6 m/s incipient velocities for flat, 1:100, and 1:50 slopes at 0.35 m depth	rolling friction coefficient = 0.25 (parallel flow), 0.75 (perpendicular flow)
35	2019	10.1111/jfr3.12551	Review and analysis of vehicle stability models during floods and proposal for future improvements	Stationary	n/a, review	full-scale criteria	R: AR&R-derived criteria	Y	Y	- Small cars: H*V≤ 0.3 m2/s, H ≤ 0.3 m, V ≤ 3.0 m/s - Large passenger cars: H*V≤ 0.45 m2/s, H ≤ 0.4 m, V ≤ 3.0 m/s - 4WD cars: H*V≤ 0.6 m2/s, H ≤ 0.5 m, V ≤ 3.0 m/s - Emergency rescue vehicles: H+V²/2g ≤ 0.6 m - Passenger vehicles: H+V²/2g ≤ 0.3 m	rolling friction coefficient = 0.76 (average), 0.52-0.62 (experimental range)
37	2023	10.3390/su151713262	Understanding the Stability of Passenger Vehicles Exposed to Water Flows through 3D CFD Modelling	Stationary	full scale	full-scale numerical	R: full text, 'full-scale medium-size passenger vehicle'	Y	N	0.38 m critical depth, 0.36 m2/s minimum depth-velocity threshold, medium-size passenger vehicle	
38	2026	10.1111/jfr3.70181	Assessment of Vehicle Stability Processes Under Unsteady Flow Conditions	Stationary	1:14 (validation only)	full-scale equivalent	R: SPH 'validated ... by comparing it with 1:14 scale physical model results'	Y	Y	0.45 m2/s minimum depth-velocity threshold, small passenger vehicle	rolling friction coefficient = 0.3, assumed not measured
39	2023	10.1111/jfr3.12885	Confirmation of vehicle stability criteria through a combination of smoothed particle hydrodynamics and laboratory measurements	Stationary	laboratory (ratio unstated)	full-scale equivalent	R: SPH validated against a physical model study	Y	Y	- 0.3 m critical depth for small cars - 0.4 m critical depth for large passenger cars - 0.5 m critical depth for large four-wheel drive (4WD) vehicles - 0.35 m critical depth for a small passenger vehicle in still water	rolling friction coefficient = 0.55, measured
40	1996	10.4271/961000	Effects of Surface Anomalies and Tire Mechanics on ATV Tire Friction Coefficients	self-propelled	n/a, ATV tyres	NOT a vehicle-stability threshold	R: ATV tyre friction on surface anomalies; do NOT place beside flooded-car friction	N	Y		friction coefficient = up to 1.89, units not specified
